timestep,consumption_eur,consumption_sib,price_eur,price_sib
2011-03-26 15:00,88975.0,24267.0,1017.37,520.77
2011-03-26 17:00,90761.0,24524.0,1022.65,522.53
2011-03-26 18:00,93073.0,23958.0,1037.26,511.53
2011-03-26 19:00,94417.0,22907.0,1086.21,504.19
2011-03-26 20:00,93279.0,22316.0,1039.34,479.74
2011-03-26 21:00,90726.0,21994.0,1022.11,476.21
2011-03-26 22:00,87311.0,21838.0,982.48,474.08
2011-03-26 23:00,83696.0,21737.0,899.77,462.76
2011-03-27 00:00,80289.0,21750.0,862.27,466.71
2011-03-27 01:00,79798.0,22022.0,852.96,465.77
2011-03-27 02:00,79798.0,22022.0,852.96,465.77
2011-03-27 03:00,79415.0,22576.0,829.79,494.33
2011-03-27 04:00,79117.0,22862.0,817.25,511.24
2011-03-27 05:00,80444.0,23259.0,858.59,516.81
2011-03-27 06:00,80592.0,23565.0,858.41,524.68
2011-03-27 07:00,81644.0,23581.0,880.47,533.82
2011-03-27 08:00,82338.0,23321.0,877.27,526.04
2011-03-27 09:00,84873.0,23211.0,973.25,525.98
2011-03-27 10:00,85524.0,23075.0,970.97,514.72
2011-03-27 11:00,86272.0,23010.0,988.6,513.66
2011-03-27 12:00,85380.0,23107.0,964.18,511.08
2011-03-27 13:00,85733.0,23225.0,980.33,509.94
2011-03-27 14:00,85417.0,23693.0,968.94,528.88
2011-03-27 15:00,86640.0,24002.0,994.98,536.23
2011-03-27 16:00,86933.0,24338.0,996.36,544.83
2011-03-27 17:00,88182.0,24549.0,1002.71,563.42
2011-03-27 18:00,89403.0,24216.0,1012.88,567.35
2011-03-27 19:00,92366.0,22974.0,1036.81,535.43
2011-03-27 20:00,92769.0,22224.0,1034.53,500.43
2011-03-27 21:00,91417.0,21832.0,1031.69,487.23
2011-03-27 22:00,87155.0,21562.0,961.41,470.64
2011-03-27 23:00,84456.0,21562.0,926.81,469.38
2011-03-28 00:00,81840.0,21687.0,878.39,486.0
2011-03-28 01:00,80210.0,22080.0,858.4,490.32
2011-03-28 02:00,79952.0,22523.0,851.37,487.99
2011-03-28 03:00,79931.0,22741.0,848.85,528.13
2011-03-28 04:00,81130.0,23141.0,863.74,540.09
2011-03-28 05:00,83225.0,23521.0,881.81,551.02
2011-03-28 06:00,85242.0,23670.0,898.94,567.36
2011-03-28 07:00,89278.0,23586.0,1000.03,569.01
2011-03-28 08:00,92937.0,23363.0,1026.42,622.8
2011-03-28 09:00,95307.0,23224.0,1051.36,623.27
2011-03-28 10:00,95267.0,23160.0,1052.07,639.09
2011-03-28 11:00,94363.0,23112.0,1042.23,588.93
2011-03-28 12:00,93405.0,23154.0,1039.47,547.19
2011-03-28 13:00,93730.0,23249.0,1044.07,568.28
2011-03-28 14:00,93597.0,23802.0,1040.34,562.28
2011-03-28 15:00,93815.0,24318.0,1040.98,562.03
2011-03-28 16:00,93248.0,24563.0,1033.28,566.71
2011-03-28 17:00,92995.0,24550.0,1028.48,589.32
2011-03-28 18:00,93915.0,24066.0,1036.19,595.36
2011-03-28 19:00,95444.0,23045.0,1037.39,524.38
2011-03-28 20:00,96003.0,22264.0,1057.29,502.89
2011-03-28 21:00,93557.0,21744.0,1065.38,493.39
2011-03-28 22:00,89259.0,21550.0,1004.77,490.62
2011-03-28 23:00,85612.0,21400.0,926.87,475.98
2011-03-29 00:00,82322.0,21046.0,870.53,521.63
2011-03-29 01:00,81230.0,21233.0,847.9,520.87
2011-03-29 02:00,79894.0,21663.0,817.8,517.35
2011-03-29 03:00,80210.0,22158.0,822.48,546.77
2011-03-29 04:00,80885.0,22798.0,833.54,568.66
2011-03-29 05:00,83662.0,23233.0,872.65,575.13
2011-03-29 06:00,86551.0,23454.0,948.98,591.5
2011-03-29 07:00,89966.0,23406.0,1024.11,590.01
2011-03-29 08:00,92825.0,23218.0,1039.25,637.72
2011-03-29 09:00,95402.0,23067.0,1072.24,636.1
2011-03-29 10:00,95198.0,23021.0,1061.29,638.68
2011-03-29 11:00,94753.0,23049.0,1068.53,638.77
2011-03-29 12:00,93338.0,23067.0,1055.27,570.35
2011-03-29 13:00,94163.0,23120.0,1070.36,576.75
2011-03-29 14:00,93911.0,24191.0,1068.54,534.52
2011-03-29 15:00,93884.0,24329.0,1071.33,539.54
2011-03-29 16:00,92821.0,24119.0,1052.21,556.85
2011-03-29 17:00,92838.0,23917.0,1055.37,607.09
2011-03-29 18:00,93176.0,23701.0,1048.64,636.56
2011-03-29 19:00,95742.0,22921.0,1063.28,573.88
2011-03-29 20:00,95893.0,21983.0,1065.75,547.45
2011-03-29 21:00,94022.0,21362.0,1069.4,533.39
2011-03-29 22:00,89332.0,21044.0,1007.74,527.99
2011-03-29 23:00,85979.0,21049.0,932.03,526.28
2011-03-30 00:00,82351.0,21301.0,878.11,500.22
2011-03-30 01:00,80754.0,21560.0,846.03,498.96
2011-03-30 02:00,79495.0,22046.0,819.17,498.22
2011-03-30 03:00,80008.0,22440.0,816.03,513.52
2011-03-30 04:00,80606.0,22874.0,824.63,545.56
2011-03-30 05:00,83649.0,23358.0,878.0,560.62
2011-03-30 06:00,86943.0,23501.0,957.58,574.18
2011-03-30 07:00,90655.0,23439.0,1030.18,591.42
2011-03-30 08:00,93520.0,23346.0,1058.8,640.79
2011-03-30 09:00,96023.0,23187.0,1086.35,641.53
2011-03-30 10:00,95582.0,23082.0,1075.21,647.95
2011-03-30 11:00,95120.0,23056.0,1077.8,646.55
2011-03-30 12:00,93685.0,23037.0,1078.9,539.14
2011-03-30 13:00,94629.0,23297.0,1096.69,527.92
2011-03-30 14:00,94185.0,24011.0,1091.15,544.19
2011-03-30 15:00,94120.0,24230.0,1076.28,552.08
2011-03-30 16:00,92503.0,24266.0,1051.42,553.82
2011-03-30 17:00,92321.0,24098.0,1043.67,567.83
2011-03-30 18:00,92277.0,23909.0,1032.97,635.94
2011-03-30 19:00,94972.0,22980.0,1055.05,608.83
2011-03-30 20:00,95620.0,22062.0,1061.33,519.87
2011-03-30 21:00,93951.0,21705.0,1079.01,511.46
2011-03-30 22:00,89477.0,21436.0,1016.5,506.85
2011-03-30 23:00,86174.0,21276.0,932.52,497.22
2011-03-31 00:00,81935.0,21860.0,873.05,469.03
2011-03-31 01:00,80497.0,22052.0,843.41,466.22
2011-03-31 02:00,79289.0,22410.0,816.49,460.62
2011-03-31 03:00,79685.0,22915.0,813.33,475.85
2011-03-31 04:00,80414.0,23142.0,814.94,490.15
2011-03-31 05:00,83358.0,23690.0,868.87,503.46
2011-03-31 06:00,86590.0,23899.0,958.38,518.12
2011-03-31 07:00,90123.0,23459.0,1036.73,547.03
2011-03-31 08:00,93131.0,23196.0,1070.73,617.06
2011-03-31 09:00,95650.0,23033.0,1098.44,575.78
2011-03-31 10:00,95325.0,22960.0,1109.22,599.08
2011-03-31 11:00,94842.0,22893.0,1090.82,534.37
2011-03-31 12:00,93342.0,23372.0,1072.85,488.68
2011-03-31 13:00,94126.0,23687.0,1106.8,477.51
2011-03-31 14:00,93489.0,23804.0,1098.85,485.7
2011-03-31 15:00,93818.0,23990.0,1088.27,500.69
2011-03-31 16:00,92582.0,24295.0,1072.15,512.76
2011-03-31 17:00,92312.0,24511.0,1053.48,510.34
2011-03-31 18:00,92059.0,24275.0,1044.31,555.94
2011-03-31 19:00,93984.0,23091.0,1050.53,502.15
2011-03-31 20:00,94708.0,22348.0,1054.23,479.18
2011-03-31 21:00,93608.0,21950.0,1074.18,472.36
2011-03-31 22:00,89736.0,21703.0,1023.35,470.77
2011-03-31 23:00,86231.0,21550.0,947.66,454.7
2011-04-01 00:00,82470.0,21515.0,913.24,465.03
2011-04-01 01:00,80711.0,21867.0,869.72,467.86
2011-04-01 02:00,80006.0,22366.0,857.94,465.74
2011-04-01 03:00,80032.0,22334.0,867.9,506.26
2011-04-01 04:00,81102.0,22691.0,878.45,536.81
2011-04-01 05:00,83234.0,23204.0,968.91,546.66
2011-04-01 06:00,86520.0,23372.0,1063.29,553.29
2011-04-01 07:00,90493.0,23233.0,1153.61,614.22
2011-04-01 08:00,93575.0,23083.0,1173.0,648.15
2011-04-01 09:00,95707.0,22972.0,1223.46,648.22
2011-04-01 10:00,95646.0,22957.0,1199.57,543.5
2011-04-01 11:00,94746.0,22963.0,1190.08,539.36
2011-04-01 12:00,93677.0,22909.0,1172.7,519.27
2011-04-01 13:00,94068.0,23528.0,1187.1,506.85
2011-04-01 14:00,93565.0,23629.0,1181.15,502.55
2011-04-01 15:00,93167.0,23833.0,1183.79,522.29
2011-04-01 16:00,92288.0,24125.0,1166.29,525.81
2011-04-01 17:00,91923.0,24346.0,1163.44,530.58
2011-04-01 18:00,91781.0,23781.0,1157.75,531.94
2011-04-01 19:00,93059.0,22685.0,1155.19,617.74
2011-04-01 20:00,94513.0,21844.0,1166.39,531.59
2011-04-01 21:00,93257.0,21638.0,1172.32,487.27
2011-04-01 22:00,89442.0,21366.0,1102.81,473.22
2011-04-01 23:00,85932.0,21412.0,1003.0,463.54
2011-04-02 00:00,81779.0,20862.0,1008.25,465.35
2011-04-02 01:00,79748.0,21021.0,956.28,463.91
2011-04-02 02:00,79010.0,21372.0,929.3,459.52
2011-04-02 03:00,78692.0,21637.0,910.19,480.13
2011-04-02 04:00,78905.0,21705.0,909.85,489.68
2011-04-02 05:00,79592.0,22246.0,902.8,510.46
2011-04-02 06:00,80221.0,22483.0,933.97,523.52
2011-04-02 07:00,82217.0,22507.0,984.15,584.2
2011-04-02 08:00,84843.0,22510.0,1031.91,535.63
2011-04-02 09:00,86976.0,22393.0,1048.45,535.16
2011-04-02 10:00,87644.0,22269.0,1046.51,536.9
2011-04-02 11:00,87444.0,22275.0,1049.49,536.11
2011-04-02 12:00,86718.0,22275.0,1040.91,532.99
2011-04-02 13:00,86685.0,22308.0,1041.55,500.31
